taglank,plats,plandatumtid,train_type
2024041013555,Moholm,2024-04-10 09:53:00,GT
2024041013555,Töreboda,2024-04-10 10:02:00,GT
2024041013555,Slätte,2024-04-10 10:08:00,GT
2024041013555,Älgarås,2024-04-10 10:13:00,GT
2024041013555,Gårdsjö,2024-04-10 10:19:00,GT
2024041013555,Finnerödja,2024-04-10 10:26:00,GT
2024041013555,Laxå,2024-04-10 10:37:00,GT
2024041013555,Linddalen,2024-04-10 10:44:00,GT
2024041013555,Vretstorp,2024-04-10 10:49:00,GT
2024041013555,Östansjö,2024-04-10 10:54:00,GT
2024041013555,Tälle,2024-04-10 10:56:00,GT
2024041013555,Hallsbergs rangerbangård,2024-04-10 10:59:00,GT
2024041013555,Hallsbergs pbg,2024-04-10 11:01:00,GT
2024041018010,Katrineholms c,2024-04-10 19:55:00,GT
2024041018010,Stolpstugan,2024-04-10 19:59:00,GT
2024041018010,Sköldinge,2024-04-10 20:03:00,GT
2024041018010,Flen,2024-04-10 20:09:00,GT
2024041022536,Hallsbergs rangerbangård,2024-04-10 12:28:00,GT
2024041022536,Hallsbergs pbg,2024-04-10 12:33:00,GT
2024041022536,Hallsbergs pbg,2024-04-10 12:36:00,GT
2024041022948,Hallsbergs rangerbangård,2024-04-11 00:22:00,GT
2024041022948,Hallsbergs rangerbangård,2024-04-11 03:25:00,GT
2024041024173,Hallsbergs pbg,2024-04-10 17:30:00,GT
2024041024173,Hallsbergs rangerbangård,2024-04-10 17:32:00,GT
2024041024173,Tälle,2024-04-10 17:34:00,GT
2024041024173,Östansjö,2024-04-10 17:35:00,GT
2024041024173,Vretstorp,2024-04-10 17:40:00,GT
2024041024173,Linddalen,2024-04-10 17:43:00,GT
2024041024173,Laxå,2024-04-10 17:48:00,GT
2024041024240,Hallsbergs rangerbangård,2024-04-10 19:30:00,GT
202404103853,Göteborg Sävenäs,2024-04-10 19:38:00,GT
202404103858,Olskroken,2024-04-10 21:47:00,GT
202404103858,Göteborg Sävenäs,2024-04-10 21:50:00,GT
202404103930,Hallsbergs pbg,2024-04-10 23:08:00,GT
202404103930,Hallsbergs rangerbangård,2024-04-10 23:13:00,GT
202404103930,Hallsbergs rangerbangård,2024-04-11 00:54:00,GT
202404103930,Tälle,2024-04-11 00:58:00,GT
